,user_id,dup_view_count,time_diff,vs,issu_ratio,seq
181,221523,1.205128205128205,17.45768085106383,0.8701688585548026,1.0,47
182,221524,1.175,62.216319148936165,0.8033559991226147,0.8936170212765957,47
183,221556,1.0,17.152111111111108,0.7777777777777778,0.4444444444444444,9
184,221584,1.0,16.855,0.5114155251141552,0.0,3
185,221632,1.0,9.57,1.0,1.0,2
186,221633,1.0,147.0382857142857,0.8571428571428571,1.0,7
187,221709,1.0,18.051,1.0,1.0,1
188,2407jh,1.0,6.962,1.0,1.0,1
189,245eunju,1.0,47.698499999999996,0.5,0.0,2
190,2814,1.25,16.4954,1.0,1.0,10
191,290143,1.0,11.273,1.0,1.0,1
192,2913,1.0,10.423,1.0,1.0,1
193,292725,1.0,21.708,1.0,1.0,1
194,2b-ironman,1.0,10.682,1.0,1.0,1
195,2beoms,1.0,264.3405000000001,0.6130681818181818,0.8,10
196,2changuk,1.0,18.458,1.0,1.0,1
197,2crbal,1.0,10.6044,0.7123287671232876,0.2,5
198,2crdgl,1.302325581395349,20.985301886792456,0.709052992679248,1.0,56
199,2crrs,1.0,147.058,0.5,1.0,2
200,2crtll,1.0,16.521333333333335,0.6464174454828661,0.16666666666666666,6
201,2dong2,1.2727272727272727,187.0608333333333,0.8333333333333334,1.0,14
202,2dreamer,1.1875,111.39027777777775,0.7895109851169383,1.0,19
203,2hh1j,1.0,15.062,1.0,1.0,1
204,2hyunwoo,1.0,13.978666666666667,1.0,1.0,3
205,2jinwoo,2.3055555555555554,26.70415517241379,0.8337198340874811,0.9382716049382716,83
206,2jjong2,1.0,106.146,1.0,1.0,1
207,2joon,1.2,563.4208000000001,1.0,1.0,6
208,2ky1212,1.1612903225806452,30.69823529411764,0.5492422887297298,0.6111111111111112,36
209,2wjdduf,1.0833333333333333,75.73615384615385,0.8461538461538461,1.0,13
210,302young,1.2,14.288166666666667,1.0,1.0,6
211,31kisuksa,1.3333333333333333,118.94266666666665,0.6666666666666666,0.5,4
212,3207jmy,1.0,13.245,1.0,1.0,1
213,342114,1.0,8.928,1.0,1.0,1
214,348411,1.0,244.04500000000002,1.0,1.0,2
215,361143,1.2380952380952381,25.952576923076922,0.9201372997711671,1.0,26
216,36dragon36,1.0,16.041,1.0,1.0,2
217,379430,1.6,23.877000000000002,0.5246305418719212,0.0,8
218,380434,1.1666666666666667,15.693,1.0,1.0,7
219,386pc,1.0,24.5908,0.8,0.6,5
220,3baram,1.1428571428571428,251.1421875,0.9375,1.0,16
221,3plus,1.0,15.696999999999997,1.0,1.0,3
222,3tigers,1.0,14.5315,1.0,1.0,2
223,3xfaster_001,1.15,25.074956521739132,0.7349266075898319,1.0,23
224,4021kjg,1.0,13.788,1.0,1.0,1
225,402pudle,1.0,473.453,1.0,1.0,1
226,408087,1.25,9.370000000000001,0.6111111111111112,0.0,5
227,419941,2.0,18.739,1.0,1.0,2
228,423785,1.0,23.686,1.0,1.0,1
229,436745,1.0,6.421,1.0,1.0,1
230,444743,1.0,167.59066666666666,0.6666666666666666,1.0,3
231,44friend,1.0,10.572750000000001,0.75,0.5,4
232,465142,1.0625,14.781529411764703,0.9411764705882353,0.9411764705882353,17
233,477427mj,1.25,44.217200000000005,0.5671972960600987,0.0,15
234,4872er,1.0,8.024,1.0,1.0,1
235,4961,1.0,6.084,1.0,1.0,1
236,49gunho,1.0,67.2175,0.7519162735849056,1.0,8
237,4dlpark,1.0,15.552,1.0,1.0,1
238,4eipclover,1.0434782608695652,47.92747826086956,0.8695652173913043,0.9166666666666666,24
239,4r4,1.0,44.84014285714285,0.3738095238095238,0.2857142857142857,7
240,4scoshin,1.0,7.842833333333332,1.0,0.5,6
241,4season,1.0,9.807,1.0,0.6666666666666666,3
242,4star21,1.0,9.6345,1.0,1.0,2
243,5125,1.1428571428571428,23.909250000000004,0.75,1.0,8
244,5126,1.0,9.822,1.0,1.0,1
245,512one,1.0,20.144799999999996,1.0,0.8,5
246,514756,1.0,661.5889999999999,0.5,1.0,2
247,515087,1.0,7.922,1.0,0.0,1
248,5190,1.0,498.308,0.6666666666666666,1.0,3
249,527cndgh,1.2,187.01066666666668,0.8333333333333334,1.0,6
250,545877,1.0,10.973500000000001,1.0,1.0,2
251,560225,1.1111111111111112,125.85220689655175,0.6798170110652243,1.0,30
252,560276,1.0666666666666667,186.11575,0.7397222222222222,1.0,16
253,562114,1.0,8.699,1.0,0.0,1
254,564086,1.0,5.112,1.0,0.0,1
255,564100,1.0,22.176,1.0,1.0,1
256,566061,1.0,30.65325,0.75,1.0,4
257,5663,1.0,30.090500000000002,0.42857142857142855,0.0,4
258,5898sj,1.0,10.892,1.0,0.0,2
259,5ksniper,1.1142857142857143,171.57672972972978,0.7213224152248541,1.0,39
260,5star,1.0,10.112,1.0,1.0,1
261,603253,1.0,26.478,1.0,1.0,1
262,630024,1.0,10.560333333333332,0.5714285714285715,0.0,3
263,630920,1.0,46.54784615384615,0.8172494172494174,0.7692307692307693,13
264,6426816,1.0,18.892,1.0,0.0,1
265,64mhkim,1.6666666666666667,485.07800000000003,1.0,1.0,5
266,66power,1.0,32.519999999999996,1.0,0.5,2
267,66snsn,1.0,7.464,1.0,1.0,1
268,67divs3,1.0,17.6045,1.0,0.5,2
269,6931,1.0,21.887,1.0,1.0,1
